go_version,dragonfly_revision,mayfly_revision,cma_es_revision,benchmark,dimensions,budget,base_seed,optimizer,rank,run,seed,best_cost,function_evaluations,iterations,execution_seconds
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,30,20260856,1993.8549516888431,20000,499,0.181883802
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,1,20260827,6.603595179056233e-06,20000,322,0.034686993
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,2,20260828,0.00026367675762206726,20000,322,0.038273026
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,3,20260829,5.6541764247298766e-05,20000,322,0.036546953
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,4,20260830,0.0011143280153889886,20000,322,0.035729662
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,5,20260831,8.223614498641015e-06,20000,322,0.035343926
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,6,20260832,0.0002539820814863099,20000,322,0.036996104
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,7,20260833,0.00017875368256892247,20000,322,0.03429881
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,8,20260834,7.340366634069329e-05,20000,322,0.029612207
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,9,20260835,2.8993140126990908e-05,20000,322,0.035891345
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,10,20260836,0.00025329487794836987,20000,322,0.033858526
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,11,20260837,9.724660608002839e-05,20000,322,0.013518463
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,12,20260838,0.0003648891531743027,20000,322,0.043794867
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,13,20260839,0.0005931208381226165,20000,322,0.027389068
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,14,20260840,0.00020260430778343323,20000,322,0.027131771
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,15,20260841,8.495563237439727e-05,20000,322,0.036604571
